0	1
از رهن دراورد	redeem the property
مرگ خواهی و مرگ طلبی	Death wish
کادر فنی	coaching (or support) staff
تیم بسکتبال پایه	Youth/Junior Basketball Team
اهل ادا و اطوار	a poseur
انزوای خودساخته	self imposed isolation
شیر برداشت آبگیری تانکر	water tank drain valve
مابذل مهریه	Bestowed (Marriage) Portion
عقد انقطاعی	temporary marriage
فرا سازمانی	extra-organizational
عدم وضع مالیات	Not levying a tax/non-levying of a tax
تمام شمار	full enumeration/
هیات عالی نظارت بر سازمانهای صنفی کشور	Iranian Gild organizations\' Supreme Surveilance Board
دخیل بودن	to be involved
قانون مجازات قاچاق اسلحه و مهمات	The Smuggling of Weapons and Ammunition Act / Penal Code for Arms Brokering
سامانه فیش و احکام مستمری	Pay slip and pension certificate system
شماره دفتر تفضیلی	Enlistment detailed entry number
شماره دفتر اساس	Enlistment basic entry number
لیسانس وظیفه	(Military) Conscripts with bachelor\'s degree
گواهی عدم ابتلا به سل	Tuberculin skin test certification (for marriage license)
سامانه اجرائیات	The Executive System
اجرای وظایف محوله	fulfill assigned duties/ Perform Assigned Duties/ to carry out assigned duties
مکاتبات	correspondence
طی کردن مراحل ترقی	It went through the stages of evolution/development
واحد ابلاغ شماره ملی	national ID number issuing unit
اتهام انتسابی	attributed accusation or attributed charge
کاربری کامپیوتر	Using computers/computer use
معاف از رزم	Exempt from combat
کادر وظیفه بسیج	Baseej personnel
Ghaltak Static	static tandem roller
Sang Shekan	Crusher
غمگین تر از آواز میخواران شبگردم	sadder than the chant of a sleepless / nightwalking drunkard
هوا هوای سینما رفتنه	the weather is movie-going weather
دختری كه ميتونه از موهاش بگذره	A girl who can sacrifice / give up her hair (more lit., have her hair cut)
کوت کردن	To collect, pile up, heap up, increase, grow
زبان گویای محرومان	Eloquent voice for the oppressed
مدیر کل حوزه وزارتی	Director General of Ministerial Jurisdiction
كوه پشتمه	he has my back (he's my pillar of strength; lit. he stands behind me like a mountain)
سریارو	those who (یه سری ها رو)
نمک ریختن با چیزی	to make fun of someone, to poke fun at someone, to joke about something
در جریان ... بودن	to be aware of ...
علاقه به یه تیمی بودن	to be a fan of a certain team, to support a team
جمنا	Popular Front of Islamic Revolution Forces
بنا به اقراره	written admission/affidavit/declaration
مصالح و متصالح	grantor and and grantee
نگران بچه بيراموند است	is worried / concerned about Beyranvand's kid
ضریب پیمان	contractor\'s (price) coefficient
پردازش خط مستقیم بر داده ها	straight line data processing
قدرالحصه از عرصه	the related portion of the land lot
تنوع طلب	Changeable/ fickle / inconstant
دور از ذهن	unimaginable; unthinkable; inconceivable; unconceived
تبصره ذیل ماده 41	note under article 41
گر به من دست بزنی، دستتو زود پس میزنی	You touch me, and you'll touch off soon (lit., Touch me and your hand will quickly recoil)
پیشرفتگی به فضای خیابان	protrusion into the street
نظام ارجاع	referral system
صفحه مارّ بر نقطه	the plane passing through the point
Country Procurement Manual ?	راهنمای تدارکات کشور(ی)
ما که می دونیم نیست	(It's enough that) We know it's not so.
همچنان بلاتکلیف	still unresolved, still in limbo
جاری شرکا	partner current account
خدماتی	service, service-related
زبره	Swarf
واحد مواد سازی	material fabrication unit
کلیشه چاپ	Printing plate
قالب مادر	mother mold
واگن چینی	wagon/hopper/car loading
ترانسفرکار کوره	transfer car/hopper
سانتی‌بار	centibar (cb)
سفیدکاری	plastering
بیمه کردن	to insure
رسمی	permanent (employment)
تنگ گرفته است به بر	has embraced tightly, has encircled tightly
دریافت کردن طی فیش	receive against receipt
معادل با	equal to
پایداری شیروانی	gable proof stability
نفت گریزی	oleophobicity/Lipophobicity
آزمون‌های آزمایشی	practice tests - prep tests
راز، سر خواهد رفت	the secret will brim over / overflow (be revealed)
اوصاف زمين	earth's howabouts
خانم های قری	coquettish, mincing, cheeky women (from قر دادن, hip-swiveling or dancing)
من یه چیزی هارد مانند، برداشتم	I took something like an external hard drive
یک لات بامرام	a punk / hooligan with principles
سند اقرار نامه غیرمالیاتی	Non-tax declaration document
آدما ب کسایی ک دوستدارن و میخوانشون نمیرسن	people cannot have the person they want (love)
سر بکش بره	Just gulp it down! Just drink it!
در شرار آتش دردی نهانی	in the flaming / blazing sparks of a hidden pain
کاش چون پاییز خاموش و ملال انگیز بودم	I wish I were silent and vapid, just like autumn
نیمه گمشده مو	soulmate, partner, lost half
دشمنت شرمنده	no worries, never mind
وزیر یک دنده	the stubborn minister
دستم به دامنت	I beg you to help me!
اینجا واسه فاطی تمبون نمیشه	Staying here is pointless / won't do me any good!
بابا آدم با نخریدن هاست که خوشحاله اون حال خوبی که با خرج کردن پول میاد میخوام صدسال سیاه نیاد	If I'm supposed to find happiness in spending money, I'd rather never be happy!
طهر غیر مواقعه	unpunctuated woman while in pureness state
وکیل مستقیم	lawyer
وکیل مع الواسط	mediator-attorney
اﻟﺤﺎﮐﻢ وﻟﯽ اﻟﻤﻤﺘﻨﻊ	Haakem Rule
قلق گیری	calibraton
موافق	same direction
پیچ و انحنا	bends and curves
رفت و برگشت	roundtrip
عشرت پروانه را شمع و لگن واجبست	Nothing can provide the butterfly with festivity except a candle and a basin
پرملات	rich, full-bodied
کسی را تحویل نگرفتن	to give someone the cold shoulder, to snub someone
شق ورق نشستن	to sit up straight (as stiff as a poker)
...ابری هم كه باشی	even if you're feeling blue...
استعفا به احترام علما	resign out of respect for the clergymen / scholars
به پل زدن حریف	to put one's opponent backward into a bridging position; to put one's opponent on their back
باطل شدن (تمبر)	invalidate/nullify
وعده سر خرمن	an empty or hollow promise, to promise someone the moon / earth
داداش گلم	(My) Dear bro
یه تنه گند زد به	he fucked up Persepolis all by himself; he spoiled everything for Persepolis single-handedly
